iso_time,pid,uptime_s,pss_kb,native_heap_kb,dalvik_heap_kb,graphics_kb,cpu_pct,proc_name,memfree_kb,cached_kb,swapfree_kb,swap_kb,swappss_kb,pgfault,pgmajfault,pid_changed
NA,2192,775.51,159027,130056,1451,0,+0,jp.co.aecom.beesightm,243936,1039668,968000,0,NA,NA,NA,0
NA,2192,840.13,160499,130568,1399,0,+0,jp.co.aecom.beesightm,242268,1039572,968000,0,NA,NA,NA,0
NA,2192,904.20,161252,131292,983,0,+0,jp.co.aecom.beesightm,242648,1039672,968000,0,NA,NA,NA,0
NA,2192,968.09,162063,132240,1915,0,+0,jp.co.aecom.beesightm,238764,1039672,968000,0,NA,NA,NA,0
NA,2192,1033.13,159599,133028,1459,0,+0,jp.co.aecom.beesightm,234056,1039756,968000,0,NA,NA,NA,0
NA,2192,1097.05,163113,133884,1935,0,+0,jp.co.aecom.beesightm,241472,1037736,968000,0,NA,NA,NA,0
NA,2192,1161.15,164389,132188,2403,0,+0,jp.co.aecom.beesightm,239156,1037736,968000,0,NA,NA,NA,0
NA,2192,1225.35,162461,133012,1307,0,184,jp.co.aecom.beesightm,244340,996888,968000,0,NA,NA,NA,0
NA,2192,1290.18,162911,136372,867,0,184,jp.co.aecom.beesightm,164356,1109960,967636,20,NA,NA,NA,0
NA,2192,1356.19,167355,137188,1943,0,184,jp.co.aecom.beesightm,154280,1109964,967636,20,NA,NA,NA,0
NA,2192,1420.11,167903,137760,1859,0,184,jp.co.aecom.beesightm,153048,1101180,967428,36,NA,NA,NA,0
NA,2192,1484.31,165963,138748,883,0,184,jp.co.aecom.beesightm,162288,1084304,966604,120,NA,NA,NA,0
NA,2192,1550.20,169235,139352,1939,0,178,jp.co.aecom.beesightm,154980,1084388,966604,120,NA,NA,NA,0
NA,2192,1614.08,166328,140296,2399,0,178,jp.co.aecom.beesightm,177016,1076856,966220,196,NA,NA,NA,0
NA,2192,1678.12,170792,141068,995,0,178,jp.co.aecom.beesightm,190104,1076864,966220,196,NA,NA,NA,0
NA,2192,1743.20,171984,141952,1863,0,178,jp.co.aecom.beesightm,166720,1077540,966220,196,NA,NA,NA,0
NA,2192,1808.26,173136,143132,799,0,180,jp.co.aecom.beesightm,142456,1077120,966220,196,NA,NA,NA,0
NA,2192,1872.24,171071,143448,1003,0,182,jp.co.aecom.beesightm,165916,1056616,965140,408,NA,NA,NA,0
NA,2192,1938.29,174507,141768,1411,0,182,jp.co.aecom.beesightm,167736,1056708,965140,408,NA,NA,NA,0
NA,2192,2004.14,172035,145088,1443,0,182,jp.co.aecom.beesightm,174324,1056756,965140,408,NA,NA,NA,0
NA,2192,2068.12,173209,145808,1491,0,182,jp.co.aecom.beesightm,197436,1056840,965140,408,NA,NA,NA,0
NA,2192,2372.18,179865,149424,1411,0,178,jp.co.aecom.beesightm,155008,1056848,965140,408,NA,NA,NA,0
NA,2192,2676.40,180935,153652,2431,0,180,jp.co.aecom.beesightm,159736,1057780,965140,408,NA,NA,NA,0
NA,2192,2982.27,187836,154844,2451,0,180,jp.co.aecom.beesightm,162340,1057624,965140,408,NA,NA,NA,0
NA,2192,3288.15,190565,160644,1495,0,181,jp.co.aecom.beesightm,194312,1035336,964440,548,NA,NA,NA,0
NA,2192,3592.21,195184,162108,1935,0,180,jp.co.aecom.beesightm,144980,1035808,964440,548,NA,NA,NA,0
NA,2192,3896.11,199488,169356,1971,0,174,jp.co.aecom.beesightm,175012,1036340,964440,548,NA,NA,NA,0
NA,2192,4202.07,201949,169488,1527,0,180,jp.co.aecom.beesightm,194164,1022752,964024,580,NA,NA,NA,0
NA,2192,4506.08,206057,175712,1979,0,181,jp.co.aecom.beesightm,168948,1023192,964024,580,NA,NA,NA,0
NA,2192,4811.18,207871,179684,999,0,181,jp.co.aecom.beesightm,159332,1024012,964024,580,NA,NA,NA,0
NA,2192,5117.16,213021,182920,2003,0,181,jp.co.aecom.beesightm,156840,1024116,964024,580,NA,NA,NA,0
NA,2192,5422.10,213881,186808,2003,0,181,jp.co.aecom.beesightm,146120,1023888,964024,580,NA,NA,NA,0
NA,2192,5726.03,219091,190812,2003,0,181,jp.co.aecom.beesightm,157704,1007688,963436,644,NA,NA,NA,0
NA,2192,6030.39,224595,194120,1007,0,181,jp.co.aecom.beesightm,184724,1007596,963436,644,NA,NA,NA,0
NA,2192,6336.24,228355,198008,979,0,181,jp.co.aecom.beesightm,154220,1007712,963436,644,NA,NA,NA,0
NA,2192,6641.06,232087,201528,1963,0,181,jp.co.aecom.beesightm,154004,1007732,963436,644,NA,NA,NA,0
NA,2192,6945.10,235703,202188,1487,0,181,jp.co.aecom.beesightm,135748,1007740,963436,644,NA,NA,NA,0
NA,2192,7250.11,239430,206692,2483,0,186,jp.co.aecom.beesightm,175752,1002088,963208,668,NA,NA,NA,0
NA,2192,7556.01,242490,212720,1523,0,180,jp.co.aecom.beesightm,161092,1002468,963208,668,NA,NA,NA,0
NA,2192,7860.10,244526,216668,1527,0,181,jp.co.aecom.beesightm,144112,1002104,963208,668,NA,NA,NA,0
NA,2192,8164.22,248670,220428,2487,0,181,jp.co.aecom.beesightm,148016,1002108,963208,668,NA,NA,NA,0
NA,2192,8471.16,254949,222772,1995,0,182,jp.co.aecom.beesightm,182920,990204,962676,748,NA,NA,NA,0
NA,2192,8776.07,258177,225556,2003,0,181,jp.co.aecom.beesightm,160508,990396,962676,748,NA,NA,NA,0
NA,2192,9080.96,262633,232244,2455,0,182,jp.co.aecom.beesightm,162636,978128,962024,868,NA,NA,NA,0
NA,2192,9385.12,266013,233988,1883,0,181,jp.co.aecom.beesightm,166780,978128,962024,868,NA,NA,NA,0
NA,2192,9690.03,267989,239048,2363,0,181,jp.co.aecom.beesightm,176192,978144,962024,868,NA,NA,NA,0
NA,2192,9993.92,272520,242616,1987,0,180,jp.co.aecom.beesightm,156212,977812,962024,868,NA,NA,NA,0
NA,2192,10298.07,273532,247036,1939,0,182,jp.co.aecom.beesightm,134300,978728,962024,868,NA,NA,NA,0
NA,2192,10604.10,282294,248992,1299,0,183,jp.co.aecom.beesightm,150336,969124,961640,940,NA,NA,NA,0
NA,2192,10910.04,284438,251676,1319,0,186,jp.co.aecom.beesightm,172800,963140,961400,984,NA,NA,NA,0
NA,2192,11214.01,288126,258016,855,0,183,jp.co.aecom.beesightm,122580,960204,961304,1008,NA,NA,NA,0
NA,2192,11518.08,291866,258500,1903,0,182,jp.co.aecom.beesightm,146048,960288,961304,1008,NA,NA,NA,0
NA,2192,11823.13,295390,264760,1927,0,181,jp.co.aecom.beesightm,139448,954468,961076,1052,NA,NA,NA,0
NA,2192,12128.02,299446,269324,1923,0,182,jp.co.aecom.beesightm,137724,954760,961084,1052,NA,NA,NA,0
NA,2192,12431.97,301100,272496,1359,0,182,jp.co.aecom.beesightm,157800,931668,959648,1260,NA,NA,NA,0
